Timestamp,open,high,low,close,volume
4/1/2011,19.88,20.13,19.75,20,"15,595,400"
5/1/2011,20,20.13,19.88,20,"5,924,000"
6/1/2011,20,20.25,19.88,20.13,"13,073,600"
7/1/2011,20.13,20.13,19.5,19.63,"20,270,000"
10/1/2011,19.63,19.75,18.38,18.88,"38,588,200"
11/1/2011,18.88,19.5,18.75,19.5,"24,289,400"
12/1/2011,19.5,19.88,18.75,18.75,"42,537,000"
13/1/2011,19.13,19.25,19,19.25,"14,135,200"
14/1/2011,19.25,19.5,18.88,19,"16,548,800"
17/1/2011,19,19,18.75,18.88,"8,995,600"
18/1/2011,18.75,19.13,18.63,18.88,"20,133,800"
19/1/2011,19,19.13,18.75,18.75,"11,407,600"
20/1/2011,18.75,18.88,18.5,18.5,"12,438,600"
21/1/2011,18,18.38,17.75,18.25,"31,009,400"
24/1/2011,17.88,17.88,16.75,17.63,"39,623,400"
25/1/2011,17.5,17.88,17.38,17.5,"33,877,000"
26/1/2011,17.75,18.38,17.75,18.25,"19,362,400"
27/1/2011,18.38,18.88,18.38,18.88,"21,895,000"
28/1/2011,18.63,19.25,18.5,19.25,"19,708,800"
31/1/2011,18.75,19.25,18.63,19.25,"17,262,800"
1/2/2011,19.25,19.38,19,19,"10,320,800"
2/2/2011,19.25,19.88,19.13,19.63,"18,472,000"
3/2/2011,19.63,19.75,19.25,19.25,"4,929,800"
4/2/2011,19.38,19.38,18.88,18.88,"9,906,400"
7/2/2011,18.63,18.75,18.13,18.38,"26,725,400"
8/2/2011,18.25,18.75,18.25,18.25,"23,326,200"
9/2/2011,18.13,18.38,17.88,17.88,"19,074,400"
10/2/2011,17.63,17.75,16.63,17,"86,858,400"
11/2/2011,16.75,16.75,16,16.63,"101,247,000"
14/2/2011,17,17.38,16.88,17.13,"50,271,600"
15/2/2011,17.25,17.38,16.88,17.13,"24,120,400"
16/2/2011,17.13,17.5,17.13,17.5,"19,229,000"
17/2/2011,17.75,18.75,17.63,18.63,"41,185,600"
21/2/2011,18.75,19.63,18.38,19.38,"34,571,200"
22/2/2011,19.13,19.25,18.63,19,"19,582,200"
23/2/2011,19.13,19.5,19,19.25,"16,999,800"
24/2/2011,19.38,19.38,18.5,18.88,"13,475,000"
25/2/2011,18.88,19.5,18.75,19.5,"11,920,000"
28/2/2011,19.38,19.63,19.25,19.5,"13,465,400"
1/3/2011,19.5,19.75,19.38,19.5,"16,603,600"
2/3/2011,19.38,20,19.38,19.38,"45,402,800"
3/3/2011,19.5,19.75,19.38,19.5,"11,533,800"
4/3/2011,19.88,20,19.75,19.75,"16,547,200"
7/3/2011,20,20.13,19.75,19.88,"7,410,000"
